Gene_Symbol	Gene_Id	Disease_Id	Psychiatric_disorder	Pubmed_Id	Association_Type	Sentence
CDC42	998	C0036341	Schizophrenia spectrum and other psychotic disorders	20385374	Association	The expression of <span class=gene id=20385374-2-18-23>CDC42</span> (<span class=gene id=20385374-2-25-47>cell division cycle 42</span>), a RhoGTPase that regulates the outgrowth of the actin cytoskeleton and promotes spine formation, is also lower in <span class=disease id=20385374-2-164-177>schizophrenia</span>; however, <span class=gene id=20385374-2-188-193>CDC42</span> mRNA is lower across layers 3-6, suggesting that other lamina-specific molecular alterations are critical for the spine deficits in the illness.
CDC42	998	C0036341	Schizophrenia spectrum and other psychotic disorders	22385474	Association	We found evidence that rs2473307, in strong LD with the <span class=disease id=22385474-7-56-69>schizophrenia</span> associated SNP rs2473277, is a functional variant at <span class=gene id=22385474-7-123-128>CDC42</span> that may increase risk for <span class=disease id=22385474-7-156-169>schizophrenia</span> by reducing expression of <span class=gene id=22385474-7-196-201>CDC42</span>.
CDC42	998	C0036341	Schizophrenia spectrum and other psychotic disorders	23747234	Association	These results imply that subchronic MK-801 administration during adolescence might disturb the expression of RhoA, Rac1 and <span class=gene id=23747234-8-124-129>Cdc42</span> mRNA, and then lead to the decay of the spines in hippocampus, which could be involved in cognitive impairments in <span class=disease id=23747234-8-245-258>schizophrenia</span>.
ADCY8	114	C0005586	Bipolar disorders and related disorders	18163389	Association	These findings with <span class=gene id=18163389-8-20-25>ADCY8</span> and ST3GAL1 warrant further investigation in order to confirm the observed associations and their functional significance for <span class=disease id=18163389-8-152-154>BP</span> susceptibility.
KCTD12	115207	C0005586	Bipolar disorders and related disorders	25689571	Association	The <span class=gene id=25689571-3-4-10>KCTD12</span> gene has been associated with <span class=disease id=25689571-3-41-57>bipolar disorder</span>, major depressive disorder and schizophrenia.
CNR2	1269	C0005586	Bipolar disorders and related disorders	21658778	Association	A statistically significant association was found between <span class=disease id=21658778-6-58-60>BD</span> and the <span class=gene id=21658778-6-69-73>CNR2</span> 524C&gt;A; Leu133Ile (P(?(2)) = 0.001; OR = 4.74; 95% C.I.
DGKB	1607	C0005586	Bipolar disorders and related disorders	20976192	Association	Recent studies reported that the splice variant at the COOH-terminal of <span class=gene id=20976192-3-72-76>DGK?</span> was related to <span class=disease id=20976192-3-92-108>bipolar disorder</span>, but its detailed mechanism is still unknown.
DIO2	1734	C0005586	Bipolar disorders and related disorders	19427350	Association	Data generated from this study supported our hypothesis that genetic variations of the <span class=gene id=19427350-11-87-91>DIO2</span> gene were associated with <span class=disease id=19427350-11-118-122>BPAD</span> and suggested further consideration on the possible involvement of these functionally active variants in the pathophysiology of <span class=disease id=19427350-11-251-255>BPAD</span>.
GRIK5	2901	C0005586	Bipolar disorders and related disorders	19086053	Association	We identified strong associations to individual disorders, such as growth hormone releasing hormone (GHRH) with anxiety disorders, prolactin regulatory element (PREB) with eating disorders, ionotropic kainate glutamate receptor 5 (<span class=gene id=19086053-4-231-236>GRIK5</span>) with <span class=disease id=19086053-4-243-259>bipolar disorder</span> and several SNPs associated to several disorders, that may represent individual and related disease susceptibility factors.
HLA-E	3133	C0005586	Bipolar disorders and related disorders	21037240	Association	Using data sets entirely independent of their original discoveries, we observed strong evidence that the PBRM1 locus is also associated with schizophrenia (P = 0.00015) and nominally significant evidence (P &lt; 0.05) that the NRGN and the extended <span class=gene id=21037240-6-246-249>MHC</span> region are associated with <span class=disease id=21037240-6-277-279>BD</span>.
ITGA9	3680	C1839839	Bipolar disorders and related disorders	23280964	Association	In addition, we suggest a molecular substrate that could explain the increase of <span class=gene id=23280964-11-81-86>ITGA9</span> mRNA levels in probands with <span class=disease id=23280964-11-116-120>BPAD</span>, proposing a new mechanism that could be involved in the genetic susceptibility to the disease.
ITGA9	3680	C0005586	Bipolar disorders and related disorders	23280964	Association	In addition, we suggest a molecular substrate that could explain the increase of <span class=gene id=23280964-11-81-86>ITGA9</span> mRNA levels in probands with <span class=disease id=23280964-11-116-120>BPAD</span>, proposing a new mechanism that could be involved in the genetic susceptibility to the disease.
MBL2	4153	C0005586	Bipolar disorders and related disorders	24856568	Association	<span class=disease id=24856568-8-0-16>Bipolar disorder</span> was associated with the <span class=gene id=24856568-8-41-45>MBL2</span> LXPA haplotype and lower MASP-2 levels.
TGFB1	7040	C0005586	Bipolar disorders and related disorders	11723175	Association	We further observed a significant decrease of <span class=gene id=11723175-7-46-56>TGF-beta 1</span> mRNA levels in <span class=disease id=11723175-7-72-74>BD</span> by RT-PCR in individual post-mortem samples.
TMSB10	9168	C0005586	Bipolar disorders and related disorders	22675524	Association	ACTB and <span class=gene id=22675524-7-9-13>TB10</span> mRNAs were also decreased in <span class=disease id=22675524-7-43-59>bipolar disorder</span>.
AKAP8	10270	C0041696	Depressive disorders	19834500	Association	<span class=gene id=19834500-8-0-6>AKAP95</span> pathway and pantothenate and CoA biosynthesis were unique to <span class=disease id=19834500-8-68-70>MD</span>.
AKAP8	10270	C1269683	Depressive disorders	19834500	Association	<span class=gene id=19834500-8-0-6>AKAP95</span> pathway and pantothenate and CoA biosynthesis were unique to <span class=disease id=19834500-8-68-70>MD</span>.
CRP	1401	C0041696	Depressive disorders	22683764	Association	Here we examined circulating concentrations of inflammatory cytokines (IFN-?, TNF-?, IL-1?, IL-6), and the acute phase protein <span class=gene id=22683764-4-127-130>CRP</span> alongside plasma tryptophan, kynurenine, kynurenic acid (KYNA) and 3-hydroxyanthranilic acid (3-HAA) concentrations, and whole blood mRNA expression of IDO, kynurenine aminotransferases (KAT I and II), kynurenine-3-monooxygenase (KMO), kynureninase and SERT in patients with <span class=disease id=22683764-4-406-431>major depressive disorder</span> (MDD) compared with age and sex-matched controls.
CRP	1401	C0344315	Depressive disorders	22683764	Association	Here we examined circulating concentrations of inflammatory cytokines (IFN-?, TNF-?, IL-1?, IL-6), and the acute phase protein <span class=gene id=22683764-4-127-130>CRP</span> alongside plasma tryptophan, kynurenine, kynurenic acid (KYNA) and 3-hydroxyanthranilic acid (3-HAA) concentrations, and whole blood mRNA expression of IDO, kynurenine aminotransferases (KAT I and II), kynurenine-3-monooxygenase (KMO), kynureninase and SERT in patients with <span class=disease id=22683764-4-406-431>major depressive disorder</span> (MDD) compared with age and sex-matched controls.
CRP	1401	C1269683	Depressive disorders	22683764	Association	Here we examined circulating concentrations of inflammatory cytokines (IFN-?, TNF-?, IL-1?, IL-6), and the acute phase protein <span class=gene id=22683764-4-127-130>CRP</span> alongside plasma tryptophan, kynurenine, kynurenic acid (KYNA) and 3-hydroxyanthranilic acid (3-HAA) concentrations, and whole blood mRNA expression of IDO, kynurenine aminotransferases (KAT I and II), kynurenine-3-monooxygenase (KMO), kynureninase and SERT in patients with <span class=disease id=22683764-4-406-431>major depressive disorder</span> (MDD) compared with age and sex-matched controls.
CRP	1401	C0041696	Depressive disorders	22832853	Association	Patients with <span class=disease id=22832853-4-14-17>MDD</span> showed smaller hippocampal volumes and increased inflammatory proteins IL-6 and <span class=gene id=22832853-4-98-101>CRP</span> compared with HC.
CRP	1401	C1269683	Depressive disorders	22832853	Association	Patients with <span class=disease id=22832853-4-14-17>MDD</span> showed smaller hippocampal volumes and increased inflammatory proteins IL-6 and <span class=gene id=22832853-4-98-101>CRP</span> compared with HC.
CRP	1401	C0344315	Depressive disorders	25603415	Association	<span class=gene id=25603415-1-0-18>C-reactive protein</span> (<span class=gene id=25603415-1-20-23>CRP</span>) is a heritable biomarker of systemic inflammation that is commonly elevated in <span class=disease id=25603415-1-104-113>depressed</span> patients.
DCANP1	140947	C0041696	Depressive disorders	20351714	Association	In the GAIN <span class=disease id=20351714-7-12-15>MDD</span> study, two SNPs were associated with <span class=disease id=20351714-7-53-56>MDD</span>: <span class=gene id=20351714-7-58-65>C5orf20</span> (rs12520799; P=0.038; odds ratio (OR) AT=1.10, 95% CI 0.95-1.29; OR TT=1.21, 95% confidence interval (CI) 1.01-1.47) and NPY (rs16139; P=0.034; OR C allele=0.73, 95% CI 0.55-0.97), constituting a direct replication of previously identified SNPs.
DCANP1	140947	C1269683	Depressive disorders	20351714	Association	In the GAIN <span class=disease id=20351714-7-12-15>MDD</span> study, two SNPs were associated with <span class=disease id=20351714-7-53-56>MDD</span>: <span class=gene id=20351714-7-58-65>C5orf20</span> (rs12520799; P=0.038; odds ratio (OR) AT=1.10, 95% CI 0.95-1.29; OR TT=1.21, 95% confidence interval (CI) 1.01-1.47) and NPY (rs16139; P=0.034; OR C allele=0.73, 95% CI 0.55-0.97), constituting a direct replication of previously identified SNPs.
DCANP1	140947	C0041696	Depressive disorders	20693543	Association	The recently discovered <span class=gene id=20693543-1-24-56>dendritic cell nuclear protein-1</span> is the product of a novel candidate gene for <span class=disease id=20693543-1-102-118>major depression</span>.
DCANP1	140947	C1269683	Depressive disorders	20693543	Association	The recently discovered <span class=gene id=20693543-1-24-56>dendritic cell nuclear protein-1</span> is the product of a novel candidate gene for <span class=disease id=20693543-1-102-118>major depression</span>.
DCANP1	140947	C0011581	Depressive disorders	20693543	Association	The recently discovered <span class=gene id=20693543-1-24-56>dendritic cell nuclear protein-1</span> is the product of a novel candidate gene for <span class=disease id=20693543-1-102-118>major depression</span>.
EGF	1950	C0041696	Depressive disorders	22504456	Association	The cis-phase interaction between the SNPs within the <span class=gene id=22504456-8-54-57>EGF</span> locus may contribute toward the etiology of <span class=disease id=22504456-8-102-105>MDD</span>.
EGF	1950	C1269683	Depressive disorders	22504456	Association	The cis-phase interaction between the SNPs within the <span class=gene id=22504456-8-54-57>EGF</span> locus may contribute toward the etiology of <span class=disease id=22504456-8-102-105>MDD</span>.
EGFR	1956	C0041696	Depressive disorders	21807767	Association	<span class=gene id=21807767-11-0-4>EGFR</span> mutations were associated with lower depression severity and lower rates of probable <span class=disease id=21807767-11-90-115>major depressive disorder</span> in patients with metastatic NSCLC, based on mood screening performed before results of genotyping were known.
EGFR	1956	C1269683	Depressive disorders	21807767	Association	<span class=gene id=21807767-11-0-4>EGFR</span> mutations were associated with lower depression severity and lower rates of probable <span class=disease id=21807767-11-90-115>major depressive disorder</span> in patients with metastatic NSCLC, based on mood screening performed before results of genotyping were known.
MORC1	27136	C0041696	Depressive disorders	25158004	Association	Interestingly, a gene-set-based analysis of data from a genome-wide association study of <span class=disease id=25158004-8-89-114>major depressive disorder</span> (<span class=disease id=25158004-8-116-119>MDD</span>) revealed an association of <span class=gene id=25158004-8-148-153>MORC1</span> with <span class=disease id=25158004-8-159-162>MDD</span>.
MORC1	27136	C1269683	Depressive disorders	25158004	Association	Interestingly, a gene-set-based analysis of data from a genome-wide association study of <span class=disease id=25158004-8-89-114>major depressive disorder</span> (<span class=disease id=25158004-8-116-119>MDD</span>) revealed an association of <span class=gene id=25158004-8-148-153>MORC1</span> with <span class=disease id=25158004-8-159-162>MDD</span>.
GRM5	2915	C0041696	Depressive disorders	20600666	Association	Recently, we reported reduced levels of metabotropic glutamate receptor subtype 5 (<span class=gene id=20600666-2-83-89>mGluR5</span>) in postmortem brains in <span class=disease id=20600666-2-115-118>MDD</span>, however the neurobiological mechanisms that induce these abnormalities are unclear.
GRM5	2915	C1269683	Depressive disorders	20600666	Association	Recently, we reported reduced levels of metabotropic glutamate receptor subtype 5 (<span class=gene id=20600666-2-83-89>mGluR5</span>) in postmortem brains in <span class=disease id=20600666-2-115-118>MDD</span>, however the neurobiological mechanisms that induce these abnormalities are unclear.
GRM5	2915	C0041696	Depressive disorders	21635931	Association	Our postmortem studies indicate robust deficits in prominent postsynaptic proteins including N-methyl-d-aspartate (NMDA) receptor subunits (NR2A, NR2B), metabotropic glutamate receptor subtype 5 (<span class=gene id=21635931-2-196-202>mGluR5</span>) and postsynaptic density protein 95kDa (PSD-95) in the PFC in <span class=disease id=21635931-2-266-291>major depressive disorder</span> (<span class=disease id=21635931-2-293-296>MDD</span>).
GRM5	2915	C1269683	Depressive disorders	21635931	Association	Our postmortem studies indicate robust deficits in prominent postsynaptic proteins including N-methyl-d-aspartate (NMDA) receptor subunits (NR2A, NR2B), metabotropic glutamate receptor subtype 5 (<span class=gene id=21635931-2-196-202>mGluR5</span>) and postsynaptic density protein 95kDa (PSD-95) in the PFC in <span class=disease id=21635931-2-266-291>major depressive disorder</span> (<span class=disease id=21635931-2-293-296>MDD</span>).
TBX21	30009	C0041696	Depressive disorders	18504423	Association	Specifically, single nucleotide polymorphisms (SNPs) in two genes critical for T-cell function are associated with susceptibility to <span class=disease id=18504423-5-133-136>MDD</span>: PSMB4 (proteasome beta4 subunit), important for antigen processing, and <span class=gene id=18504423-5-210-215>TBX21</span> (T bet), critical for differentiation.
TBX21	30009	C1269683	Depressive disorders	18504423	Association	Specifically, single nucleotide polymorphisms (SNPs) in two genes critical for T-cell function are associated with susceptibility to <span class=disease id=18504423-5-133-136>MDD</span>: PSMB4 (proteasome beta4 subunit), important for antigen processing, and <span class=gene id=18504423-5-210-215>TBX21</span> (T bet), critical for differentiation.
IL10	3586	C0086132	Depressive disorders	22424164	Association	Regression analyses indicated that patients with the A/A genotype for the <span class=gene id=22424164-6-74-79>IL-10</span> -1082 polymorphism (lower <span class=gene id=22424164-6-106-111>IL-10</span> producers) reported significantly greater <span class=disease id=22424164-6-154-173>depressive symptoms</span> than G allele carriers (higher <span class=gene id=22424164-6-205-210>IL-10</span> producers; b = 0.22, P = 0.011), even after controlling for relevant covariates.
PCNT	5116	C0041696	Depressive disorders	19448849	Association	Our results suggest that genetic variations in the <span class=gene id=19448849-11-51-55>PCNT</span> gene may play a significant role in the etiology of <span class=disease id=19448849-11-108-111>MDD</span> in the Japanese population.
PCNT	5116	C1269683	Depressive disorders	19448849	Association	Our results suggest that genetic variations in the <span class=gene id=19448849-11-51-55>PCNT</span> gene may play a significant role in the etiology of <span class=disease id=19448849-11-108-111>MDD</span> in the Japanese population.
PCNT	5116	C0041696	Depressive disorders	19937158	Association	<span class=gene id=19937158-2-0-11>Pericentrin</span> (<span class=gene id=19937158-2-13-17>PCNT</span>) also interacts with DISC1 and recently single-nucleotide polymorphisms (SNPs) within the <span class=gene id=19937158-2-108-112>PCNT</span> gene have been found to show significant associations with SZ and <span class=disease id=19937158-2-179-182>MDD</span>.
PCNT	5116	C1269683	Depressive disorders	19937158	Association	<span class=gene id=19937158-2-0-11>Pericentrin</span> (<span class=gene id=19937158-2-13-17>PCNT</span>) also interacts with DISC1 and recently single-nucleotide polymorphisms (SNPs) within the <span class=gene id=19937158-2-108-112>PCNT</span> gene have been found to show significant associations with SZ and <span class=disease id=19937158-2-179-182>MDD</span>.
GMIP	51291	C0041696	Depressive disorders	16086184	Association	The <span class=gene id=16086184-0-4-27>Gem interacting protein</span> (<span class=gene id=16086184-0-29-33>GMIP</span>) gene is associated with <span class=disease id=16086184-0-59-84>major depressive disorder</span>.
GMIP	51291	C1269683	Depressive disorders	16086184	Association	The <span class=gene id=16086184-0-4-27>Gem interacting protein</span> (<span class=gene id=16086184-0-29-33>GMIP</span>) gene is associated with <span class=disease id=16086184-0-59-84>major depressive disorder</span>.
MAP2K1	5604	C2063866	Depressive disorders	24709918	Association	BDNF and <span class=gene id=24709918-4-9-13>MEK1</span> mRNA levels were significantly reduced in patients with <span class=disease id=24709918-4-70-95>major depressive disorder</span> when compared with healthy controls (BDNF: P&lt;0.01; <span class=gene id=24709918-4-147-151>MEK1</span>: P&lt;0.001), as well as among treatment-resistant depressive patients as compared with treatment-responsive depressive patients (BDNF: P&lt;0.001; MEK1: P&lt;0.01).
MAP2K1	5604	C0041696	Depressive disorders	24709918	Association	BDNF and <span class=gene id=24709918-4-9-13>MEK1</span> mRNA levels were significantly reduced in patients with <span class=disease id=24709918-4-70-95>major depressive disorder</span> when compared with healthy controls (BDNF: P&lt;0.01; <span class=gene id=24709918-4-147-151>MEK1</span>: P&lt;0.001), as well as among treatment-resistant depressive patients as compared with treatment-responsive depressive patients (BDNF: P&lt;0.001; MEK1: P&lt;0.01).
MAP2K1	5604	C1269683	Depressive disorders	24709918	Association	BDNF and <span class=gene id=24709918-4-9-13>MEK1</span> mRNA levels were significantly reduced in patients with <span class=disease id=24709918-4-70-95>major depressive disorder</span> when compared with healthy controls (BDNF: P&lt;0.01; <span class=gene id=24709918-4-147-151>MEK1</span>: P&lt;0.001), as well as among treatment-resistant depressive patients as compared with treatment-responsive depressive patients (BDNF: P&lt;0.001; MEK1: P&lt;0.01).
BCL9	607	C0041696	Depressive disorders	21383261	Association	These findings indicate that common variations in the <span class=gene id=21383261-14-54-58>BCL9</span> gene confer risk of schizophrenia and may also be associated with bipolar disorder and <span class=disease id=21383261-14-146-171>major depressive disorder</span> in the Chinese Han population.
BCL9	607	C1269683	Depressive disorders	21383261	Association	These findings indicate that common variations in the <span class=gene id=21383261-14-54-58>BCL9</span> gene confer risk of schizophrenia and may also be associated with bipolar disorder and <span class=disease id=21383261-14-146-171>major depressive disorder</span> in the Chinese Han population.
BDKRB2	624	C0041696	Depressive disorders	19086053	Association	Remarkably, a functional SNP, rs945032, located in the promoter region of the <span class=gene id=19086053-5-78-100>bradykinin receptor B2</span> gene (<span class=gene id=19086053-5-107-113>BDKRB2</span>) was associated to three disorders (panic disorder, substance abuse, and bipolar disorder), and two additional <span class=gene id=19086053-5-225-231>BDKRB2</span> SNPs to obsessive-compulsive disorder and <span class=disease id=19086053-5-274-290>major depression</span>, providing evidence for common variants of susceptibility to several related psychiatric disorders.
BDKRB2	624	C1269683	Depressive disorders	19086053	Association	Remarkably, a functional SNP, rs945032, located in the promoter region of the <span class=gene id=19086053-5-78-100>bradykinin receptor B2</span> gene (<span class=gene id=19086053-5-107-113>BDKRB2</span>) was associated to three disorders (panic disorder, substance abuse, and bipolar disorder), and two additional <span class=gene id=19086053-5-225-231>BDKRB2</span> SNPs to obsessive-compulsive disorder and <span class=disease id=19086053-5-274-290>major depression</span>, providing evidence for common variants of susceptibility to several related psychiatric disorders.
CCL2	6347	C0041696	Depressive disorders	15296827	Association	<span class=gene id=15296827-0-0-34>Monocyte chemoattractant protein-1</span> (<span class=gene id=15296827-0-36-40>MCP1</span>) promoter -2518 polymorphism may confer a susceptibility to <span class=disease id=15296827-0-101-126>major depressive disorder</span> in the Korean population.
CCL2	6347	C1269683	Depressive disorders	15296827	Association	<span class=gene id=15296827-0-0-34>Monocyte chemoattractant protein-1</span> (<span class=gene id=15296827-0-36-40>MCP1</span>) promoter -2518 polymorphism may confer a susceptibility to <span class=disease id=15296827-0-101-126>major depressive disorder</span> in the Korean population.
PINK1	65018	C0041696	Depressive disorders	18261714	Association	Psychiatric diagnoses in <span class=gene id=18261714-3-25-30>PINK1</span> mutation carriers comprised <span class=disease id=18261714-3-59-75>major depression</span> without psychotic symptoms and schizophrenia-spectrum, panic, adjustment, and obsessive-compulsive personality disorders.
PINK1	65018	C1269683	Depressive disorders	18261714	Association	Psychiatric diagnoses in <span class=gene id=18261714-3-25-30>PINK1</span> mutation carriers comprised <span class=disease id=18261714-3-59-75>major depression</span> without psychotic symptoms and schizophrenia-spectrum, panic, adjustment, and obsessive-compulsive personality disorders.
TFCP2	7024	C0041696	Depressive disorders	16710089	Association	Association of polymorphism in the transcription factor LBP-1c/CP2/<span class=gene id=16710089-0-67-70>LSF</span> gene with Alzheimer's disease and <span class=disease id=16710089-0-105-121>major depression</span>.
TFCP2	7024	C1269683	Depressive disorders	16710089	Association	Association of polymorphism in the transcription factor LBP-1c/CP2/<span class=gene id=16710089-0-67-70>LSF</span> gene with Alzheimer's disease and <span class=disease id=16710089-0-105-121>major depression</span>.
VDR	7421	C0086132	Depressive disorders	17714831	Association	In conclusion, our results show that genetic variance in the <span class=gene id=17714831-8-61-64>VDR</span> gene influences the susceptibility to age-related changes in cognitive functioning and in <span class=disease id=17714831-8-155-174>depressive symptoms</span>.
LRP8	7804	C0041696	Depressive disorders	20493228	Association	Results from this preliminary study suggest that the expression of <span class=gene id=20493228-5-67-73>ApoER2</span> may serve as a trait marker for <span class=disease id=20493228-5-106-131>major depressive disorder</span>.
LRP8	7804	C1269683	Depressive disorders	20493228	Association	Results from this preliminary study suggest that the expression of <span class=gene id=20493228-5-67-73>ApoER2</span> may serve as a trait marker for <span class=disease id=20493228-5-106-131>major depressive disorder</span>.
SYNJ2	8871	C0086132	Depressive disorders	22213687	Association	No SNPs were associated with the personality and psychological distress traits at a Bonferroni corrected level of significance (P &lt; 0.0002), but there was an over-representation of nominally significant (P &lt; 0.05) SNPs in the <span class=gene id=22213687-4-226-240>synaptojanin-2</span> (<span class=gene id=22213687-4-242-247>SYNJ2</span>) gene associated with agreeableness and <span class=disease id=22213687-4-288-310>symptoms of depression</span>.
DEL22Q11.2	100188856	C0036341	Schizophrenia spectrum and other psychotic disorders	22095694	Association	The majority of <span class=gene id=22095694-2-16-26>del22q11.2</span> cases have facial and cardiac malformations, immunologic impairments, specific cognitive profile and increased risk for <span class=disease id=22095694-2-147-160>schizophrenia</span> and autism spectrum disorders (ASDs).
DLG2-AS1	100302690	C0809983	Schizophrenia spectrum and other psychotic disorders	13130513	Association	These results suggest that <span class=gene id=13130513-10-27-36>PSZA11q14</span> may be considered a candidate gene for <span class=disease id=13130513-10-76-89>schizophrenia</span> acting as an antisense regulator of DLG-2, which controls assembling functional N-methyl-D-aspartate (NMDA) receptors.
DLG2-AS1	100302690	C0036341	Schizophrenia spectrum and other psychotic disorders	13130513	Association	These results suggest that <span class=gene id=13130513-10-27-36>PSZA11q14</span> may be considered a candidate gene for <span class=disease id=13130513-10-76-89>schizophrenia</span> acting as an antisense regulator of DLG-2, which controls assembling functional N-methyl-D-aspartate (NMDA) receptors.
HNRNPA3P1	10151	C0036341	Schizophrenia spectrum and other psychotic disorders	16223876	Association	Implementing this systematic approach, we: (i) discovered 177 putative <span class=disease id=16223876-4-71-73>SZ</span> risk genes in brain, 28 of which map to linked chromosomal loci; (ii) delineated six biological processes and 12 molecular functions that may be particularly disrupted in the illness; (iii) identified 123 putative SZ biomarkers in blood, 6 of which (BTG1, GSK3A, HLA-DRB1, <span class=gene id=16223876-4-347-353>HNRPA3</span>, SELENBP1, and SFRS1) had corresponding differential expression in brain; (iv) verified the differential expression of the strongest candidate SZ biomarker (SELENBP1) in blood; and (v) demonstrated neuronal and glial expression of SELENBP1 protein in brain.
AKR1A1	10327	C0036341	Schizophrenia spectrum and other psychotic disorders	23468174	Association	Association between common <span class=gene id=23468174-0-27-48>alcohol dehydrogenase</span> gene (ADH) variants and <span class=disease id=23468174-0-73-86>schizophrenia</span> and autism.
PEMT	10400	C0036341	Schizophrenia spectrum and other psychotic disorders	17720317	Association	The present results suggest that the <span class=gene id=17720317-7-37-41>PEMT</span> gene may contribute to the etiology of <span class=disease id=17720317-7-81-94>schizophrenia</span>.
CTCF	10664	C0036341	Schizophrenia spectrum and other psychotic disorders	24901509	Association	<span class=gene id=24901509-7-0-4>CTCF</span> and CACNB2, evidence for association with <span class=disease id=24901509-7-47-60>schizophrenia</span> was available (at the gene-level) in both the discovery study and published data from the Psychiatric Genomics Consortium <span class=disease id=24901509-7-183-196>schizophrenia</span> study.
CHRNA3	1136	C0036341	Schizophrenia spectrum and other psychotic disorders	20393456	Association	Moreover, <span class=gene id=20393456-8-10-16>CHRNA3</span> genotype was associated with chronicity, treatment, and negative symptoms in the <span class=disease id=20393456-8-98-111>schizophrenia</span> sample.
KCTD12	115207	C0036341	Schizophrenia spectrum and other psychotic disorders	25689571	Association	The <span class=gene id=25689571-3-4-10>KCTD12</span> gene has been associated with bipolar disorder, major depressive disorder and <span class=disease id=25689571-3-89-102>schizophrenia</span>.
MSS51	118490	C0036341	Schizophrenia spectrum and other psychotic disorders	21531385	Association	ANXA7, PPP3CB, DNAJC9, and <span class=gene id=21531385-16-27-34>ZMYND17</span> genes are potential candidate genes for <span class=disease id=21531385-16-75-88>schizophrenia</span>, especially in patients with deficits in sustained attention and executive function.
CRH	1392	C0036341	Schizophrenia spectrum and other psychotic disorders	12865891	Association	Chronically elevated levels of <span class=gene id=12865891-1-31-61>corticotropin-releasing factor</span> (<span class=gene id=12865891-1-63-66>CRF</span>) in transgenic mice overexpressing <span class=gene id=12865891-1-102-105>CRF</span> in the brain (<span class=gene id=12865891-1-120-123>CRF</span>-OE) appear to be associated with alterations commonly associated with major depressive disorder, as well as with sensorimotor gating deficits commonly associated with <span class=disease id=12865891-1-291-304>schizophrenia</span>.
CRHR1	1394	C0349204	Schizophrenia spectrum and other psychotic disorders	24166410	Association	In addition, GR and <span class=gene id=24166410-8-20-62>corticotropin-releasing hormone receptor 1</span> (<span class=gene id=24166410-8-64-69>CRHR1</span>) genotypes contributed significantly to <span class=disease id=24166410-8-110-119>psychosis</span> measures and <span class=gene id=24166410-8-133-138>CRHR1</span> contributed significantly to depression severity rating.
CRHR1	1394	C0033975	Schizophrenia spectrum and other psychotic disorders	24166410	Association	In addition, GR and <span class=gene id=24166410-8-20-62>corticotropin-releasing hormone receptor 1</span> (<span class=gene id=24166410-8-64-69>CRHR1</span>) genotypes contributed significantly to <span class=disease id=24166410-8-110-119>psychosis</span> measures and <span class=gene id=24166410-8-133-138>CRHR1</span> contributed significantly to depression severity rating.
MAPK14	1432	C0036341	Schizophrenia spectrum and other psychotic disorders	18460190	Association	Variants of the <span class=gene id=18460190-9-16-51>mitogen-activated protein kinase 14</span> gene (<span class=gene id=18460190-9-58-64>MAPK14</span>) and the phosphoenolpyruvate carboxykinase 1 (PCK1) and fructose-1,6-biphosphatase (FBP1) were nominal significantly associated with <span class=disease id=18460190-9-198-211>schizophrenia</span>, and several haplotypes within enolase 2 gene (ENO2) consist of the same SNP allele having elevated risk of <span class=disease id=18460190-9-320-333>schizophrenia</span>.
CYP1A2	1544	C0809983	Schizophrenia spectrum and other psychotic disorders	21142916	Association	In this study we explored possible epistasis between CYP2D6 (*3, *4, *5, *6 and *1xN), CYP3A5 (*3), <span class=gene id=21142916-1-100-106>CYP1A2</span> (*1C and *1F) and ABCB1 (G2677T) in <span class=disease id=21142916-1-143-178>schizophrenia and related disorders</span>.
CYP1A2	1544	C0036341	Schizophrenia spectrum and other psychotic disorders	21142916	Association	In this study we explored possible epistasis between CYP2D6 (*3, *4, *5, *6 and *1xN), CYP3A5 (*3), <span class=gene id=21142916-1-100-106>CYP1A2</span> (*1C and *1F) and ABCB1 (G2677T) in <span class=disease id=21142916-1-143-178>schizophrenia and related disorders</span>.
ERBB3	2065	C0036341	Schizophrenia spectrum and other psychotic disorders	19995212	Association	To our knowledge, this is the first association study between <span class=gene id=19995212-10-62-67>ERBB3</span> and <span class=disease id=19995212-10-72-85>schizophrenia</span> in the Caucasian population.
ERBB4	2066	C0036341	Schizophrenia spectrum and other psychotic disorders	23628989	Association	Moreover, we demonstrate that Gomafu binds directly to the splicing factors QKI and SRSF1 (serine/arginine-rich splicing factor 1) and dysregulation of Gomafu leads to alternative splicing patterns that resemble those observed in <span class=disease id=23628989-5-230-232>SZ</span> for the archetypal <span class=disease id=23628989-5-252-254>SZ</span>-associated genes DISC1 and <span class=gene id=23628989-5-282-287>ERBB4</span>.
ERBB4	2066	C0036341	Schizophrenia spectrum and other psychotic disorders	23752247	Association	<span class=gene id=23752247-11-0-5>ERBB4</span> has previously been associated with <span class=disease id=23752247-11-42-55>schizophrenia</span>; further, it is located within an established <span class=disease id=23752247-11-102-115>schizophrenia</span> linkage locus and within a linkage locus for a smoker phenotype identified in this sample.
ERBB4	2066	C0036341	Schizophrenia spectrum and other psychotic disorders	23891727	Association	The mRNA level of <span class=gene id=23891727-10-18-23>ERbB4</span>, a gene associated to <span class=disease id=23891727-10-46-59>schizophrenia</span>, was also altered in this region.
